Province,Year_BE,ICD_Code,Disease_Group_TH,Disease_Group_EN,Total_Patients,Total_Visits,Civil_Servant_Patients,Civil_Servant_Visits,Social_Security_Patients,Social_Security_Visits,Universal_Coverage_Patients,Universal_Coverage_Visits,Foreigner_Patients,Foreigner_Visits,Other_Scheme_Patients,Other_Scheme_Visits
อำนาจเจริญ,2568,F00-F09,ความผิดปกติทางจิตและอาการทางจิตที่เกิดจากโรคทางกาย,Organic_Mental_Disorders,593,1596,94,239,12,36,488,1320,0,0,1,1
อำนาจเจริญ,2568,F10,เสพสุรา,Alcohol_Substance_Use,1154,3019,70,166,92,211,995,2632,0,0,10,10
อำนาจเจริญ,2568,F10-F19,ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้สารออกฤทธิ์ต่อจิตประสาท,Mental_Behavioral_Disorders_Due_To_Substance_Use,3191,11481,96,255,202,640,2910,10550,0,0,23,36
อำนาจเจริญ,2568,F17,เสพบุหรี่,Tobacco_Substance_Use,194,383,9,18,11,21,173,343,0,0,1,1
อำนาจเจริญ,2568,F20,โรคจิตเภท,Schizophrenia,2670,13650,73,327,70,164,2548,13126,0,0,26,33
อำนาจเจริญ,2568,F20-F29,โรคจิตเภท พฤติกรรมแบบโรคจิตเภท และโรคหลงผิด,Schizophrenia_Schizotypal_Delusional_Disorders,3500,16377,109,424,122,306,3301,15609,0,0,29,38
อำนาจเจริญ,2568,F30-F39,ความผิดปกติทางอารมณ์,Mood_Disorders,2067,6932,217,766,160,472,1710,5658,4,8,16,28
อำนาจเจริญ,2568,F31,ไบโพล่า,Bipolar_Disorder,133,542,16,61,15,50,105,431,0,0,0,0
อำนาจเจริญ,2568,"F32,F33,F34.1,F38,F39",โรคซึมเศร้า,Depression,1936,6385,201,705,145,421,1607,5223,4,8,16,28
อำนาจเจริญ,2568,F40-F48,โรคประสาท ความผิดปกติที่สัมพันธ์กับความเครียด และโรคโซมาโตฟอร์ม,Neurotic_Stress_Related_Somatoform_Disorders,2111,5568,284,718,129,273,1709,4552,1,1,9,24
อำนาจเจริญ,2568,F50-F59,กลุ่มอาการทางพฤติกรรมที่พบร่วมกับความผิดปกติทางสรีรวิทยาและปัจจัยทางกายภาพ,Behavioral_Syndromes_Associated_With_Physiological_Disturbances,1954,4656,358,850,66,114,1522,3654,3,6,14,32
อำนาจเจริญ,2568,F60-F69,ความผิดปกติทางบุคลิกภาพและพฤติกรรมของผู้ใหญ่,Disorders_Of_Adult_Personality_Behavior,43,135,1,1,3,4,38,129,0,0,1,1
อำนาจเจริญ,2568,F70-F79,ภาวะปัญญาอ่อน,Mental_Retardation,169,476,0,0,2,3,167,473,0,0,0,0
อำนาจเจริญ,2568,F80-F89,ความผิดปกติของพัฒนาการทางจิต,Disorders_Of_Psychological_Development,468,1319,19,42,0,0,448,1274,0,0,2,3
อำนาจเจริญ,2568,F81,ความผิดปกติจำเพาะของพัฒนาการทางทักษะในการเรียนรู้,Learning_Disorders,80,140,2,4,0,0,78,136,0,0,0,0
อำนาจเจริญ,2568,F84,โรคออติสติก,Autism_Spectrum_Disorder,176,622,8,22,0,0,168,600,0,0,0,0
อำนาจเจริญ,2568,F90,โรคสมาธิสั้น,ADHD,842,2908,43,110,1,2,796,2787,0,0,5,9
อำนาจเจริญ,2568,F90-F98,ความผิดปกติทางอารมณ์และพฤติกรรมที่มักเริ่มต้นในวัยเด็กและวัยรุ่น,Behavioral_Emotional_Disorders_Childhood_Adolescence,882,2989,50,125,2,6,828,2849,0,0,5,9
อำนาจเจริญ,2568,F99,ความผิดปกติทางจิตที่ไม่ระบุรายละเอียด,Unspecified_Mental_Disorder,1,1,0,0,0,0,1,1,0,0,0,0
อำนาจเจริญ,2568,X60-X84,ผู้พยายามฆ่าตัวตาย,Intentional_Self_Harm_Suicide_Attempt,106,123,6,6,5,5,89,106,0,0,6,6
อำนาจเจริญ,2569,F00-F03,โรคสมองเสื่อม,Dementia,251,566,46,103,1,2,202,457,0,0,2,4
อำนาจเจริญ,2569,F00-F09,ความผิดปกติทางจิตและอาการทางจิตที่เกิดจากโรคทางกาย,Organic_Mental_Disorders,485,1014,82,172,9,16,392,820,0,0,4,6
อำนาจเจริญ,2569,F10,เสพสุรา,Alcohol_Substance_Use,969,2086,47,100,60,129,861,1853,0,0,4,4
อำนาจเจริญ,2569,F10-F19,ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้สารออกฤทธิ์ต่อจิตประสาท,Mental_Behavioral_Disorders_Due_To_Substance_Use,2901,8231,68,136,125,318,2717,7771,0,0,6,6
